zona_eleitoral,codigo_zona_eleitoral,estado,municipio,codigo_municipio
0108,108,BA,CONCEIÇÃO DA FEIRA,34630
0184,184,BA,CONCEIÇÃO DO ALMEIDA,34657
0132,132,BA,CONCEIÇÃO DO COITÉ,34673
0192,192,BA,CONCEIÇÃO DO JACUÍPE,34690
0021,21,BA,CONDE,34711
0060,60,BA,CONDEÚBA,34738
0058,58,BA,CONTENDAS DO SINCORÁ,34754
0130,130,BA,CORAÇÃO DE MARIA,34770
0060,60,BA,CORDEIROS,34797
0061,61,BA,CORIBE,34819
0052,52,BA,CORONEL JOÃO SÁ,34835
0124,124,BA,CORRENTINA,34851
0098,98,BA,COTEGIPE,34878
0038,38,BA,CRAVOLÂNDIA,34894
0126,126,BA,CRISTÓPOLIS,34932
0081,81,BA,CRISÓPOLIS,34916
0142,142,BA,CRUZ DAS ALMAS,34959
0085,85,BA,CURAÇÁ,34975
0040,40,BA,CÂNDIDO SALES,34339
0082,82,BA,CÍCERO DANTAS,34550
0186,186,BA,DIAS D&apos;ÁVILA,30872
0101,101,BA,DOM BASÍLIO,35017
0202,202,BA,DOM MACEDO COSTA,35033
0147,147,BA,DÁRIO MEIRA,34991
0107,107,BA,ELÍSIO MEDRADO,35050
0152,152,BA,ENCRUZILHADA,35076
0144,144,BA,ENTRE RIOS,35092
0021,21,BA,ESPLANADA,35114
0102,102,BA,EUCLIDES DA CUNHA,35130
0188,188,BA,EUNÁPOLIS,30058
0203,203,BA,EUNÁPOLIS,30058
0125,125,BA,FEIRA DA MATA,35149
0156,156,BA,FEIRA DE SANTANA,35157
0155,155,BA,FEIRA DE SANTANA,35157
0154,154,BA,FEIRA DE SANTANA,35157
0157,157,BA,FEIRA DE SANTANA,35157
0149,149,BA,FILADÉLFIA,30910
0137,137,BA,FIRMINO ALVES,35173
0029,29,BA,FLORESTA AZUL,35190
0187,187,BA,FORMOSA DO RIO PRETO,35211
0082,82,BA,FÁTIMA,30899
0151,151,BA,GANDU,35238
0191,191,BA,GAVIÃO,30937
0068,68,BA,GENTIO DO OURO,35254
0084,84,BA,GLÓRIA,35270
0073,73,BA,GONGOGI,35297
0131,131,BA,GOVERNADOR MANGABEIRA,35319
0093,93,BA,GUAJERU,30953
0064,64,BA,GUANAMBI,35335
0189,189,BA,GUARATINGA,35351
0110,110,BA,HELIÓPOLIS,30970
0193,193,BA,IAÇU,35378
0093,93,BA,IBIASSUCÊ,35394
0029,29,BA,IBICARAÍ,35416
0169,169,BA,IBICOARA,35432
0146,146,BA,IBICUÍ,35459
0176,176,BA,IBIPEBA,35475
0065,65,BA,IBIPITANGA,35513
0042,42,BA,IBIQUERA,35530
0134,134,BA,IBIRAPITANGA,35556
0153,153,BA,IBIRAPUÃ,35572
0024,24,BA,IBIRATAIA,35599
0088,88,BA,IBITIARA,35610
0104,104,BA,IBITITÁ,35637
0173,173,BA,IBOTIRAMA,35653
0132,132,BA,ICHU,35670
0168,168,BA,IGAPORÃ,35696
0032,32,BA,IGRAPIÚNA,35700
0146,146,BA,IGUAÍ,35718
0025,25,BA,ILHÉUS,35734
0026,26,BA,ILHÉUS,35734
0044,44,BA,INHAMBUPE,35750
0143,143,BA,IPECAETÁ,35777
0024,24,BA,IPIAÚ,35793
0062,62,BA,IPIRÁ,35815
0094,94,BA,IPUPIARA,35831
0076,76,BA,IRAJUBA,35858
0169,169,BA,IRAMAIA,35874
0089,89,BA,IRAQUARA,35890
0074,74,BA,IRARÁ,35912
0095,95,BA,IRECÊ,35939
0189,189,BA,ITABELA,35947
0042,42,BA,ITABERABA,35955
0028,28,BA,ITABUNA,35971
0027,27,BA,ITABUNA,35971
0198,198,BA,ITACARÉ,35998
0119,119,BA,ITAETÉ,36013
0147,147,BA,ITAGI,36030
0147,147,BA,ITAGIBÁ,36056
0188,188,BA,ITAGIMIRIM,36072
0068,68,BA,ITAGUAÇU DA BAHIA,36080
0137,137,BA,ITAJU DO COLÔNIA,36099
0136,136,BA,ITAJUÍPE,36110
0172,172,BA,ITAMARAJU,36137
0151,151,BA,ITAMARI,36153
0201,201,BA,ITAMBÉ,36170
0185,185,BA,ITANAGRA,36196
0148,148,BA,ITANHÉM,36218
0141,141,BA,ITAPARICA,36234
0188,188,BA,ITAPEBI,36277
0140,140,BA,ITAPETINGA,36293
0081,81,BA,ITAPICURU,36315
0135,135,BA,ITAPITANGA,36331
0027,27,BA,ITAPÉ,36250
0076,76,BA,ITAQUARA,36358
0138,138,BA,ITARANTIM,36374
0107,107,BA,ITATIM,36382
0037,37,BA,ITIRUÇU,36390
0149,149,BA,ITIÚBA,36412
0137,137,BA,ITORORÓ,36439
0058,58,BA,ITUAÇU,36455
0032,32,BA,ITUBERÁ,36471
0175,175,BA,IUIU,30660
0061,61,BA,JABORANDI,30678
0092,92,BA,JACARACI,36498
0046,46,BA,JACOBINA,36510
0076,76,BA,JAGUAQUARA,36536
0179,179,BA,JAGUARARI,36552
0030,30,BA,JAGUARIPE,36579
0049,49,BA,JANDAÍRA,36595
0023,23,BA,JEQUIÉ,36617
0022,22,BA,JEQUIÉ,36617
0051,51,BA,JEREMOABO,36633
0109,109,BA,JIQUIRIÇÁ,36650
0024,24,BA,JITAÚNA,36676
0199,199,BA,JOÃO DOURADO,30996
0047,47,BA,JUAZEIRO,36692
0048,48,BA,JUAZEIRO,36692
0172,172,BA,JUCURUÇU,36706
0159,159,BA,JUSSARA,36714
0028,28,BA,JUSSARI,30694
0101,101,BA,JUSSIAPE,36730
0023,23,BA,LAFAIETE COUTINHO,36757
0063,63,BA,LAGOA REAL,36765
0109,109,BA,LAJE,36773
0087,87,BA,LAJEDINHO,36811
0037,37,BA,LAJEDO DO TABOCAL,36820
0153,153,BA,LAJEDÃO,36790
0160,160,BA,LAMARÃO,36838
0104,104,BA,LAPÃO,39730
0180,180,BA,LAURO DE FREITAS,36854
0089,89,BA,LENÇÓIS,36870
0117,117,BA,LICÍNIO DE ALMEIDA,36897
0101,101,BA,LIVRAMENTO DE NOSSA SENHORA,36919
0205,205,BA,LUÍS EDUARDO MAGALHÃES,30007
0087,87,BA,MACAJUBA,36935
0091,91,BA,MACARANI,36951
0065,65,BA,MACAÚBAS,36978
